岗位名称,薪资待遇,实习时长,工作描述,学历要求,招聘人数,发布时间,公司名称,公司规模,工作地点,企业领域
股权投行实习生-武汉,80-100元/天,3个月,1）  协助项目组人员负责股权类业务的项目承做，协助梳理项目的尽职调查、方案设计、工作底稿及申报材料制作、项目报批、项目发行等全过程运作；,硕士,1,2023-04-07 15:05,天风证券,301~1000人,湖北,金融
线上实习生,120-200元/天,2个月,科锐国际 ,本科,40,2023-04-10 10:52,科锐国际,3001人及以上,北京,咨询/法律/人力资源
BD（销售）实习生,120-200元/天,2个月,1、按计划及要求联系拜访客户，为目标客户提供有效的咨询及解决方案；,本科,5,2023-04-03 15:24,科锐国际,3001人及以上,北京,咨询/法律/人力资源
财务实习生,120-150元/天,3个月,1、凭证整理装订；,本科,2,2023-04-03 15:24,科锐国际,3001人及以上,北京,咨询/法律/人力资源
行政实习生,120-150元/天,3个月,1、日常单据报销审核；,本科,2,2023-04-03 15:23,科锐国际,3001人及以上,北京,咨询/法律/人力资源
华南商务合作助理（实习）,80-100元/天,3个月,1、协助完成客户背调，提取核心信息,本科,1,2023-04-03 15:02,财新传媒,301~1000人,广东,广告|传媒|文化|体育
业务流程管理实习生,80-100元/天,4个月,1.业务流程管理的辅助，协助处理业务内控流程、合规审核、报销、系统录入等工作；,本科,1,2023-04-03 14:30,dentsu,1001~3000人,北京,广告|传媒|文化|体育
HRBP实习生,100-120元/天,3个月,1、协助外部相关政策柜台咨询及办理；,本科,1,2023-04-03 13:49,益海嘉里,3001人及以上,上海,交通|物流|贸易
日化品牌实习生,80-120元/天,3个月,【工作职责】,本科,1,2023-04-03 13:49,益海嘉里,3001人及以上,上海,交通|物流|贸易
项目助理（PMO）+SAP HR模块实习生,150-190元/天,长期,Working content:,本科,1,2023-04-03 13:49,源讯中国,301~1000人,北京,互联网|游戏|软件
软件测试实习生,150-190元/天,长期,1. 协助工程师follow case进度；,本科,1,2023-04-03 13:46,源讯中国,301~1000人,北京,互联网|游戏|软件
招聘实习生 （北京）,100-150元/天,3个月,1、快速理解客户公司委托的职位，制定找寻人才的方向； ,本科,20,2023-04-03 13:34,科锐国际,3001人及以上,北京,咨询/法律/人力资源
猎头实习生（北京、天津）,100-150元/天,3个月,1.参与日常招聘工作，协助进行人才招聘、面试安排及接待等工作；,本科,20,2023-04-03 13:34,科锐国际,3001人及以上,北京,咨询/法律/人力资源
行政前台,100-120元/天,3个月,岗位职责：,本科,1,2023-04-03 13:33,中投中财,101~300人,北京,金融
HR实习生（招聘）,140-150元/天,3个月,1、维护、拓展公司招聘渠道，更新招聘信息 ；,本科,1,2023-04-03 11:10,字节跳动,3001人及以上,上海,互联网|游戏|软件
销售助理实习生,100-150元/天,3个月,工作职责：,本科,3,2023-04-03 10:48,东软集团,3001人及以上,北京,互联网|游戏|软件
渠道管理实习生,120-150元/天,6个月,1、经销商资质文档管理。,本科,1,2023-04-03 10:06,费森尤斯医疗,1001~3000人,上海,生物|医药
内容运营助理,120-200元/天,3个月,1. 基于品牌特性、产品卖点与动态市场洞察，结合热点、节日、品牌事件，以及销售端口产品端口需求反馈，提炼亮点，进行文案编辑撰写；,本科,2,2023-04-03 09:18,新通教育,3001人及以上,浙江,教育培训
售后市场部实习生,120-150元/天,6个月,售后市场部直接面对终端市场和客户，负责售后市场的市场战略/产品/以及内容的输出，同时负责组织线上和线下的市场活动来触达我们的客户。,本科,1,2023-04-04 10:51,盖瑞特,1001~3000人,上海,汽车|机械|制造
人事专员,面议,3个月,每天负责跟进招聘员工、去各个平台发布招聘信息、面试员工等相关工作。,大专,30,2023-04-06 09:22,湖北纳杰,3001人及以上,湖北,咨询/法律/人力资源
招聘实习生,100-150元/天,3个月,【岗位职责】,不限,1,2023-04-06 11:45,Fesco广东,301~1000人,广东,咨询/法律/人力资源
管培生,8-16元/天,6个月,工作职责：,本科,30,2023-04-07 20:51,德佑房产,3001人及以上,上海,互联网|游戏|软件
财务实习生,120-150元/天,6个月,具体职责:,本科,1,2023-04-06 13:44,上海贝尔企业通信,301~1000人,上海,IT|通信|电子
猎头顾问实习生,100-200元/天,3个月,1、协助专业顾问分析客户的职位需求，明确目标公司的用人需求和候选人的职业发展诉求；,本科,10,2023-04-10 10:20,科锐国际,301~1000人,陕西,咨询/法律/人力资源
资本市场部实习生,90-100元/天,3个月,1、参与私募基金发行全生命周期管理工作，包括但不限于产品发行成立、产品备案、产品建仓及调仓等； ,本科,2,2023-04-10 15:13,陆浦投资,301~1000人,上海,金融
招聘实习生,100-150元/天,3个月,【岗位职责】,不限,1,2023-04-06 11:45,Fesco广东,301~1000人,广东,咨询/法律/人力资源
人事专员,6-10K/月,3个月,1、日常电话招聘、校园招聘会招聘,大专,15,2023-04-10 09:34,湖北纳杰,3001人及以上,湖北,咨询/法律/人力资源
财务实习生,120-150元/天,6个月,具体职责:,本科,1,2023-04-06 13:44,上海贝尔企业通信,301~1000人,上海,IT|通信|电子
招聘专员,6-10K/月,长期,1.负责相关的职位的招聘工作,大专,20,2023-04-10 09:34,湖北纳杰,3001人及以上,湖北,咨询/法律/人力资源
编辑实习生——统计学,120-200元/天,3个月,与统计学专业考研考证相关的笔记整理、核对答案解析等。,硕士,100,2023-04-10 09:02,圣才电子书,101~300人,北京,互联网|游戏|软件
HR实习生,100-200元/天,3个月,1、协助专业顾问分析客户的职位需求，明确目标公司的用人需求和候选人的职业发展诉求；,本科,15,2023-04-10 17:38,科锐国际,301~1000人,陕西,咨询/法律/人力资源
HR实习生,100-200元/天,3个月,1、协助专业顾问分析客户的职位需求，明确目标公司的用人需求和候选人的职业发展诉求；,本科,15,2023-04-10 17:38,科锐国际,301~1000人,陕西,咨询/法律/人力资源
网课-教学助教 | Teaching Assistant,100-150元/天,1个月,一、实习岗位,本科,10,2023-04-07 16:48,JNC,51~100人,广东,教育培训
HR Intern,120-150元/天,3个月,协助HR同事完成日常招聘工作,本科,1,2023-04-06 15:34,盖瑞特,1001~3000人,上海,汽车|机械|制造
招聘主管,6-12K/月,长期,1. 负责完成公司的招聘目标，快速满足各部门的招聘需求；,大专,10,2023-04-10 13:37,湖北纳杰,3001人及以上,湖北,咨询/法律/人力资源
财务实习生,120-150元/天,长期,具体职责:,本科,1,2023-04-06 13:44,上海贝尔企业通信,301~1000人,上海,IT|通信|电子
汽车智能网联实习生,150-200元/天,6个月,我们是：,本科,1,2023-04-06 10:09,盖瑞特,1001~3000人,上海,汽车|机械|制造
招聘专员,5-8K/月,6个月,1. 负责完成公司的招聘目标，快速满足各部门的招聘需求；,本科,10,2023-04-06 16:35,湖北纳杰,3001人及以上,湖北,咨询/法律/人力资源
销售助理实习生,140-170元/天,3个月,1. 协助渠道销售部以及经销商完成报价、下 单、跟进交货及出货安排;      ,大专,2,2023-04-10 13:20,外企德科,1001~3000人,上海,咨询/法律/人力资源
