岗位名称,薪资待遇,实习时长,工作描述,学历要求,招聘人数,发布时间,公司名称,公司规模,工作地点,企业领域,发布日期,年
内容运营实习生,205.0,3个月,['岗位职责'],本科,1,2023-04-10 16:58:00,微店,1001~3000人,北京市,互联网|游戏|软件,2023-04-10,2023
HR招聘实习生,135.0,3个月,"['利用', '招聘', '渠道', '发布', '招聘广告', '寻求', '招聘', '机构', '\xa0']",本科,13,2023-04-04 15:45:00,科锐国际,3001人及以上,北京市,咨询/法律/人力资源,2023-04-04,2023
销售管理实习生,165.0,3个月,"['\xa0', '销售', '部门', '紧密', '衔接', '分析', '数据', '管理', '需求预测']",不限,1,2023-04-06 10:19:00,美的集团,3001人及以上,广东省,汽车|机械|制造,2023-04-06,2023
招聘方向实习生,210.0,3个月,"['协助', '推进', '招聘', '流程', '工作', '协助', '招聘', '项目', '开展', '招聘', '数据', '统计']",本科,1,2023-04-07 15:07:00,美团,1001~3000人,北京市,互联网|游戏|软件,2023-04-07,2023
运营实习生,175.0,3个月,['岗位职责'],本科,2,2023-04-10 11:59:00,云上会展有限公司,51~100人,上海市,互联网|游戏|软件,2023-04-10,2023
短视频实习生,175.0,4个月,"['参与', '公司', '合作', '自建', '账号', '定位', '规划', '内容', '策划', '拍摄', '剪辑', '工作', '\xa0']",大专,1,2023-04-06 19:17:00,货拉拉,3001人及以上,广东省,互联网|游戏|软件,2023-04-06,2023
短视频拍摄剪辑实习生,120.5,3个月,"['投递', '保证', '简历', '内置', '作品', '链接', '介绍', '清楚', '熟悉', '拍摄', '产品']",本科,1,2023-04-10 15:28:00,网易有道,3001人及以上,北京市,互联网|游戏|软件,2023-04-10,2023
桌面运维实习生,150.0,3个月,"['Job', '\xa0', 'Description']",大专,2,2023-04-03 23:46:00,晶科科技,1001~3000人,上海市,能源|环保,2023-04-03,2023
运营助理,140.0,3个月,"['协助', '上海', '区域', '销售', '数据', '统计', '分析']",本科,1,2023-04-06 15:14:00,好买财富,1001~3000人,上海市,金融,2023-04-06,2023
上市公司-猎头实习生,135.0,3个月,"['协助', '猎头', '顾问', '独立', '互联网', '高科技', '客户', '需求', '职位', '技术', '岗位', '居多', '进行', '分析', '\xa0']",本科,5,2023-04-04 15:45:00,科锐国际,3001人及以上,北京市,咨询/法律/人力资源,2023-04-04,2023
股权投行实习生-武汉,90.0,3个月,"['\xa0', '\xa0', '协助', '项目组', '人员', '负责', '股权', '业务', '项目', '承', '做', '协助', '梳理', '项目', '尽职', '调查', '方案设计', '工作', '底稿', '申报材料', '制作', '项目', '报批', '项目', '发行', '全过程', '运作']",硕士,1,2023-04-07 15:05:00,天风证券,301~1000人,湖北省,金融,2023-04-07,2023
医学代表实习生-内蒙古,135.0,3个月,"['\xa0', '遵循', '国家', '行业', '公司', '法规', '秉持', '高标准', '商业', '规范']",本科,30,2023-04-10 15:07:00,阿斯利康,3001人及以上,上海市,生物|医药,2023-04-10,2023
会计实习生,175.0,4个月,"['JOB', '\xa0', 'RESPONSIBILITY']",本科,1,2023-04-06 10:43:00,卡特彼勒,301~1000人,北京市,汽车|机械|制造,2023-04-06,2023
HR实习生,150.0,2个月,['岗位职责'],本科,25,2023-04-10 10:30:00,科锐国际,1001~3000人,北京市,咨询/法律/人力资源,2023-04-10,2023
医学代表实习生-吉林,135.0,3个月,"['\xa0', '遵循', '国家', '行业', '公司', '法规', '秉持', '高标准', '商业', '规范']",本科,30,2023-04-10 15:07:00,阿斯利康,3001人及以上,上海市,生物|医药,2023-04-10,2023
上市公司 · 猎头实习生线下,150.0,3个月,"['协助', '专业', '顾问', '分析', '客户', '职位', '需求', '明确', '目标', '公司', '用人', '需求', '候选人', '职业', '发展', '诉求']",本科,10,2023-04-04 15:47:00,科锐国际,3001人及以上,北京市,咨询/法律/人力资源,2023-04-04,2023
固定收益部实习生,135.0,3个月,"['重点', '协助', '投资', '助理', '产品', '助理', '信用', '研究', '助理', '方向', '工作', '协助', '剩余', '方向', '工作', '涉及', '工作']",本科,3,2023-04-04 17:48:00,云南信托,101~300人,上海市,金融,2023-04-04,2023
海外市场实习生,165.0,3个月,"['工作', '职责']",本科,1,2023-04-07 14:05:00,叽里呱啦,301~1000人,上海市,互联网|游戏|软件,2023-04-07,2023
A股上市公司猎头顾问实习生,110.0,3个月,['认识'],本科,150,2023-04-10 10:13:00,科锐国际,3001人及以上,北京市,咨询/法律/人力资源,2023-04-10,2023
